# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 152K of event 'cycles'
# Event count (approx.): 389675809010
#
# Children      Self  Symbol                                         IPC   [IPC Coverage]
# ........  ........  .............................................  ....................
#
     0.00%     0.00%  [.] EVP_DigestUpdate                           -      -            
     0.00%     0.00%  [.] ossl_namemap_stored                        -      -            
     0.00%     0.00%  [.] RSA_setup_blinding                         -      -            
     0.00%     0.00%  [k] run_timer_softirq                          -      -            
     0.00%     0.00%  [.] ossl_decode_der_length                     -      -            
     0.00%     0.00%  [.] d2i_DSA_SIG                                -      -            
     0.00%     0.00%  [.] bn_mod_sub_fixed_top                       -      -            
     0.00%     0.00%  [.] 0x00000000000005f0                         -      -            
     0.00%     0.00%  [.] 0x0000ffff88edd5f0                         -      -            
     0.00%     0.00%  [.] ossl_ffc_params_cleanup                    -      -            
     0.00%     0.00%  [.] sha512_internal_init                       -      -            
     0.00%     0.00%  [.] evp_md_ctx_free_algctx                     -      -            
     0.00%     0.00%  [.] time@plt                                   -      -            
     0.00%     0.00%  [.] DSA_free                                   -      -            
     0.00%     0.00%  [.] EVP_PKEY_new                               -      -            
     0.00%     0.00%  [.] HMAC_Init_ex.part.0                        -      -            
     0.00%     0.00%  [.] ossl_lib_ctx_get_concrete                  -      -            
     0.00%     0.00%  [.] EVP_CipherInit_ex                          -      -            
     0.00%     0.00%  [.] OSSL_PARAM_set_uint64                      -      -            
     0.00%     0.00%  [.] EVP_Digest                                 -      -            
     0.00%     0.00%  [.] EVP_CIPHER_CTX_get_key_length              -      -            
     0.00%     0.00%  [.] EVP_CIPHER_CTX_get_iv_length               -      -            
     0.00%     0.00%  [.] sha512_block_data_order                    -      -            
     0.00%     0.00%  [.] ossl_provider_ctx                          -      -            
     0.00%     0.00%  [.] BN_secure_new                              -      -            
     0.00%     0.00%  [.] EVP_MD_free                                -      -            
     0.00%     0.00%  [.] 0x00000000000005d4                         -      -            
     0.00%     0.00%  [.] 0x0000ffff88edd5d4                         -      -            
     0.00%     0.00%  [.] CRYPTO_atomic_load_int                     -      -            
     0.00%     0.00%  [.] ossl_ec_group_do_inverse_ord               -      -            
     0.00%     0.00%  [.] 0x007cffff884cebcf                         -      -            
     0.00%     0.00%  [k] tmigr_handle_remote                        -      -            
     0.00%     0.00%  [k] sched_balance_rq                           -      -            
     0.00%     0.00%  [.] generate_unverifiable_g                    -      -            
     0.00%     0.00%  [.] ERR_set_error                              -      -            
     0.00%     0.00%  [.] ERR_vset_error                             -      -            
     0.00%     0.00%  [.] RSA_padding_add_none                       -      -            
     0.00%     0.00%  [.] BN_sub_word                                -      -            
     0.00%     0.00%  [.] evp_pkey_asn1_find_str                     -      -            
     0.00%     0.00%  [.] SHA512_Init                                -      -            
     0.00%     0.00%  [.] BN_MONT_CTX_new                            -      -            
     0.00%     0.00%  [.] OPENSSL_sk_free                            -      -            
     0.00%     0.00%  [.] BN_abs_is_word                             -      -            
     0.00%     0.00%  [.] EC_POINT_is_at_infinity                    -      -            
     0.00%     0.00%  [.] ecp_nistz256_get_affine                    -      -            
     0.00%     0.00%  [.] BN_is_negative                             -      -            
     0.00%     0.00%  [.] __GI___strlen_asimd                        -      -            
     0.00%     0.00%  [.] ossl_ec_GFp_simple_is_at_infinity          -      -            
     0.00%     0.00%  [.] ossl_rcu_uptr_deref                        -      -            
     0.00%     0.00%  [.] ossl_namemap_empty                         -      -            
     0.00%     0.00%  [.] EVP_MD_fetch                               -      -            
     0.00%     0.00%  [.] ossl_ffc_params_todata                     -      -            
     0.00%     0.00%  [.] rsa_verify                                 -      -            
